Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Melkunie Protein crème brûlée,"€1,79",NEE,10 g,7.7 g,1.5 g,308 kJ (73 kcal),https://www.ah.nl/producten/product/wi595148/melkunie-protein-cre%CC%80me-bru%CC%82le%CC%81e,2025-12-08 16:50:00
AH Protein kwark met yoghurt perzik,"€1,99",NEE,10 g,4.7 g,0.2 g,258 kJ (61 kcal),https://www.ah.nl/producten/product/wi585918/ah-protein-kwark-met-yoghurt-perzik,2025-12-08 16:50:04
AH Protein bar white choco pinda karamel,"€1,49",NEE,32 g,5 g,20 g,1630 kJ (391 kcal),https://www.ah.nl/producten/product/wi560850,2025-12-08 16:50:07
AH Protein drink chocolade smaak,"€1,49",NEE,8 g,2.7 g,1.4 g,242 kJ (57 kcal),https://www.ah.nl/producten/product/wi585920/ah-protein-drink-chocolade-smaak,2025-12-08 16:50:11
AH Protein kwark met yoghurt framboos,"€1,99",NEE,10 g,4.6 g,0.2 g,256 kJ (60 kcal),https://www.ah.nl/producten/product/wi585919/ah-protein-kwark-met-yoghurt-framboos,2025-12-08 16:50:15
AH Protein drink mango,"€1,49",NEE,8.3 g,5.2 g,0.4 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi575461/ah-protein-drink-mango,2025-12-08 16:50:18
XXL Nutrition Fitquark peach passion,"€0,99",JA,12 g,3.5 g,0.4 g,287 kJ (68 kcal),https://www.ah.nl/producten/product/wi585928/xxl-nutrition-fitquark-peach-passion,2025-12-08 16:50:21
AH Proteïne drink aardbei smaak,"€0,89",NEE,8 g,4.9 g,0.1 g,223 kJ (53 kcal),https://www.ah.nl/producten/product/wi599561/ah-protei%CC%88ne-drink-aardbei-smaak,2025-12-08 16:50:25
AH Protein kwark met yoghurt vanillesmaak,"€0,99",NEE,13 g,3 g,0.4 g,287 kJ (68 kcal),https://www.ah.nl/producten/product/wi555457/ah-protein-kwark-met-yoghurt-vanillesmaak,2025-12-08 16:50:30
Melkunie Protein chocolate fudge flavoured mousse,"€2,29",NEE,10 g,8.7 g,1.8 g,342 kJ (81 kcal),https://www.ah.nl/producten/product/wi585900/melkunie-protein-chocolate-fudge-flavoured-mousse,2025-12-08 16:50:34
Melkunie Protein aardbei & framboos shake,"€1,69",NEE,9 g,6.5 g,1.6 g,322 kJ (76 kcal),https://www.ah.nl/producten/product/wi415701/melkunie-protein-aardbei-en-framboos-shake,2025-12-08 16:50:38
Optimel Proteïne yoghurt bosbes vanillesmaak,"€2,49",NEE,8.7 g,3.7 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi575487,2025-12-08 16:50:41
Melkunie Protein banana toffee flavoured mousse,"€2,29",NEE,10 g,11 g,1.4 g,326 kJ (77 kcal),https://www.ah.nl/producten/product/wi585901/melkunie-protein-banana-toffee-flavoured-mousse,2025-12-08 16:50:48
Bolletje Goed bezig protein,"€2,49",NEE,22 g,45 g,16 g,1840 kJ (439 kcal),https://www.ah.nl/producten/product/wi576733/bolletje-goed-bezig-protein,2025-12-08 16:50:52
Nature Valley Protein pinda & chocolade repen,"€4,19",NEE,25.6 g,27.5 g,28.3 g,2038 kJ (489 kcal),https://www.ah.nl/producten/product/wi407165/nature-valley-protein-pinda-en-chocolade-repen,2025-12-08 16:50:56
AH Protein bar melk choco pinda karamel,"€1,49",NEE,33 g,5 g,20 g,1634 kJ (392 kcal),https://www.ah.nl/producten/product/wi560851,2025-12-08 16:51:00
AH IJskoffie cappuccino proteine,"€0,89",NEE,8 g,4.2 g,0.1 g,213 kJ (50 kcal),https://www.ah.nl/producten/product/wi593400/ah-ijskoffie-cappuccino-proteine,2025-12-08 16:51:03
Two Chicks Vloeibaar eiwit,"€3,99",NEE,10.9 g,0 g,0 g,202 kJ (48 kcal),https://www.ah.nl/producten/product/wi236257/two-chicks-vloeibaar-eiwit,2025-12-08 16:51:06
AH Whey protein shake vanillesmaak,"€6,89",NEE,69 g,14 g,4.4 g,1579 kJ (373 kcal),https://www.ah.nl/producten/product/wi556846/ah-whey-protein-shake-vanillesmaak,2025-12-08 16:51:10
AH Eiwitrijk flatbread,"€2,49",NEE,19 g,45 g,4.6 g,1277 kJ (302 kcal),https://www.ah.nl/producten/product/wi600702/ah-eiwitrijk-flatbread,2025-12-08 16:51:45
AH Eiwitrijke broodjes,"€1,79",NEE,21 g,25 g,8.6 g,1154 kJ (275 kcal),https://www.ah.nl/producten/product/wi536151,2025-12-08 16:52:07
Upfront Whey milkshake vanille,"€14,99",NEE,74 g,5.6 g,6.8 g,1673 kJ (396 kcal),https://www.ah.nl/producten/product/wi584831/upfront-whey-milkshake-vanille,2025-12-08 16:52:13
AH Whey protein poeder ijskoffie smaak,"€9,99",NEE,67.8 g,8 g,5.3 g,1527 kJ (362 kcal),https://www.ah.nl/producten/product/wi594052/ah-whey-protein-poeder-ijskoffie-smaak,2025-12-08 16:52:16
AH Whey protein shake chocolade,"€6,89",NEE,68 g,11 g,5.3 g,1567 kJ (371 kcal),https://www.ah.nl/producten/product/wi556847/ah-whey-protein-shake-chocolade,2025-12-08 16:52:22
AH Eiwitrijk naanbrood knoflook koriander,"€1,89",NEE,18 g,42 g,5.8 g,1256 kJ (298 kcal),https://www.ah.nl/producten/product/wi600703/ah-eiwitrijk-naanbrood-knoflook-koriander,2025-12-08 16:52:26
Upfront Eiwit limonade passievrucht smaak,"€2,49",NEE,3.2 g,0.1 g,0 g,61 kJ (14 kcal),https://www.ah.nl/producten/product/wi595156/upfront-eiwit-limonade-passievrucht-smaak,2025-12-08 16:52:29
AH Vegan protein poeder vanille smaak,"€5,95",NEE,78 g,3.2 g,8 g,1699 kJ (402 kcal),https://www.ah.nl/producten/product/wi576485/ah-vegan-protein-poeder-vanille-smaak,2025-12-08 16:52:32
Upfront Eiwit milkshake vanille smaak,"€2,29",NEE,7.7 g,5.4 g,1.5 g,279 kJ (66 kcal),https://www.ah.nl/producten/product/wi586034/upfront-eiwit-milkshake-vanille-smaak,2025-12-08 16:52:35
Optimum Nutrition Gold standard whey double rich chocolate,"€39,99",NEE,76 g,5.3 g,4.6 g,1565 kJ (374 kcal),https://www.ah.nl/producten/product/wi576473/optimum-nutrition-gold-standard-whey-double-rich-chocolate,2025-12-08 16:52:39
ESN Designer whey protein dark cookies,"€14,99",NEE,71 g,9.8 g,5.8 g,1615 kJ (383 kcal),https://www.ah.nl/producten/product/wi594160/esn-designer-whey-protein-dark-cookies,2025-12-08 16:52:47
Optimum Nutrition Clear whey + collagen apple & raspberry,"€24,99",NEE,82 g,4.9 g,0.1 g,1460 kJ (349 kcal),https://www.ah.nl/producten/product/wi594073/optimum-nutrition-clear-whey-collagen-apple-en-raspberry,2025-12-08 16:52:51
Optimum Nutrition Gold standard whey double rich chocolate,"€19,99",NEE,76 g,5.3 g,4.6 g,1565 kJ (374 kcal),https://www.ah.nl/producten/product/wi576470/optimum-nutrition-gold-standard-whey-double-rich-chocolate,2025-12-08 16:52:54
Upfront Eiwit mikshake aardbei,"€2,29",NEE,7.7 g,5.3 g,1.5 g,278 kJ (66 kcal),https://www.ah.nl/producten/product/wi586033/upfront-eiwit-mikshake-aardbei,2025-12-08 16:52:57
ESN Isoclear whey protein peach iced tea,"€19,99",NEE,81 g,2.3 g,0 g,1467 kJ (348 kcal),https://www.ah.nl/producten/product/wi594156/esn-isoclear-whey-protein-peach-iced-tea,2025-12-08 16:53:00
Upfront Eiwitreep speculaas,"€2,69",NEE,25 g,38 g,18 g,1785 kJ (426 kcal),https://www.ah.nl/producten/product/wi593866/upfront-eiwitreep-speculaas,2025-12-08 16:53:04
Optimum Nutrition Gold standard whey vanilla ice cream,"€39,99",NEE,79 g,5.6 g,4.2 g,1582 kJ (378 kcal),https://www.ah.nl/producten/product/wi576472/optimum-nutrition-gold-standard-whey-vanilla-ice-cream,2025-12-08 16:53:07
ESN Flexpresso whey protein coffee caramel,"€17,99",NEE,74 g,9.8 g,3.4 g,1545 kJ (364 kcal),https://www.ah.nl/producten/product/wi594157/esn-flexpresso-whey-protein-coffee-caramel,2025-12-08 16:53:11
Upfront Eiwit limonade lychee smaak,"€2,49",NEE,3.2 g,0.1 g,0 g,60 kJ (14 kcal),https://www.ah.nl/producten/product/wi595151/upfront-eiwit-limonade-lychee-smaak,2025-12-08 16:53:14
Upfront Eiwit limonade granaatappel vlierbloesem,"€2,49",NEE,3.2 g,0.5 g,0.5 g,60 kJ (14 kcal),https://www.ah.nl/producten/product/wi585921/upfront-eiwit-limonade-granaatappel-vlierbloesem,2025-12-08 16:53:18
ESN Designer whey protein vanilla milk,"€14,99",NEE,75 g,6.8 g,4.4 g,1583 kJ (374 kcal),https://www.ah.nl/producten/product/wi594159/esn-designer-whey-protein-vanilla-milk,2025-12-08 16:53:21
Onbekend,16,NEE,,,,,https://www.ah.nl/producten/product/wi580582/ah-whey-protein-en-creatine-pakket,2025-12-08 16:53:28
ESN Flexpresso whey protein coffee,"€17,99",NEE,76 g,8.3 g,3.5 g,1559 kJ (368 kcal),https://www.ah.nl/producten/product/wi594158/esn-flexpresso-whey-protein-coffee,2025-12-08 16:53:32
Upfront Eiwit limonade appel kiwi,"€2,49",NEE,3.2 g,0.5 g,0.5 g,60 kJ (14 kcal),https://www.ah.nl/producten/product/wi585946/upfront-eiwit-limonade-appel-kiwi,2025-12-08 16:53:35
Upfront Choco eiwitreep pindakaas,"€2,89",NEE,25 g,34 g,27 g,2017 kJ (483 kcal),https://www.ah.nl/producten/product/wi603347/upfront-choco-eiwitreep-pindakaas,2025-12-08 16:53:38
ESN Isoclear whey protein mango peach,"€19,99",NEE,81 g,2.4 g,0 g,1473 kJ (348 kcal),https://www.ah.nl/producten/product/wi594162/esn-isoclear-whey-protein-mango-peach,2025-12-08 16:53:41
Optimum Nutrition Gold standard whey vanilla ice cream,"€19,99",NEE,79 g,5.6 g,4.2 g,1582 kJ (378 kcal),https://www.ah.nl/producten/product/wi576469/optimum-nutrition-gold-standard-whey-vanilla-ice-cream,2025-12-08 16:53:44
ESN Isoclear whey protein strawberry lime,"€19,99",NEE,82 g,2.2 g,0 g,1483 kJ (349 kcal),https://www.ah.nl/producten/product/wi594155/esn-isoclear-whey-protein-strawberry-lime,2025-12-08 16:53:48
Upfront Eiwit oats appel kaneel smaak,"€4,49",NEE,25 g,45 g,12 g,1695 kJ (403 kcal),https://www.ah.nl/producten/product/wi590301/upfront-eiwit-oats-appel-kaneel-smaak,2025-12-08 16:53:53
ESN Flexpresso whey protein coffee mocha,"€17,99",NEE,75 g,8.8 g,3.6 g,1558 kJ (368 kcal),https://www.ah.nl/producten/product/wi594130/esn-flexpresso-whey-protein-coffee-mocha,2025-12-08 16:54:16
AH Whey Protein en shaker pakket,"€19,88",NEE,,,,,https://www.ah.nl/producten/product/wi580580/ah-whey-protein-en-shaker-pakket,2025-12-08 16:54:19
Upfront Eiwit matcha,"€15,99",NEE,72 g,9 g,7.7 g,1769 kJ (423 kcal),https://www.ah.nl/producten/product/wi594100/upfront-eiwit-matcha,2025-12-08 16:54:23
Upfront Daily limoen munt,"€19,99",NEE,48 g,1.5 g,0 g,853 kJ (201 kcal),https://www.ah.nl/producten/product/wi594093/upfront-daily-limoen-munt,2025-12-08 16:54:27
Optimum Nutrition Clear protein juicy peach,"€27,99",NEE,70 g,2.9 g,0.7 g,1344 kJ (321 kcal),https://www.ah.nl/producten/product/wi576332/optimum-nutrition-clear-protein-juicy-peach,2025-12-08 16:54:30
Trek Protein oat bars biscoff,"€3,79",JA,20 g,45 g,21 g,1927 kJ (460 kcal),https://www.ah.nl/producten/product/wi589073/trek-protein-oat-bars-biscoff,2025-12-08 16:54:34
Trek High protein choc caramel,"€2,69",JA,28 g,16 g,16 g,1489 kJ (359 kcal),https://www.ah.nl/producten/product/wi594051/trek-high-protein-choc-caramel,2025-12-08 16:54:37
Holie's Crunchy muesli protein,"€4,19",NEE,23 g,36 g,20 g,1877 kJ (450 kcal),https://www.ah.nl/producten/product/wi553978/holie-s-crunchy-muesli-protein,2025-12-08 16:54:41
XXL Nutrition Fitquark strawberry,"€0,99",JA,12 g,3.3 g,0.4 g,283 kJ (67 kcal),https://www.ah.nl/producten/product/wi585929/xxl-nutrition-fitquark-strawberry,2025-12-08 16:54:45
Lindahls Pro + snack cocoa,"€1,19",NEE,16.1 g,34.4 g,14.6 g,1190 kJ (285 kcal),https://www.ah.nl/producten/product/wi575519,2025-12-08 16:54:49
Melkunie Protein peach raspberry yoghurt,"€1,79",NEE,10 g,5.4 g,0.6 g,296 kJ (70 kcal),https://www.ah.nl/producten/product/wi585902/melkunie-protein-peach-raspberry-yoghurt,2025-12-08 16:54:52
"Campina High protein Greek yoghurt 1,5% fat","€3,69",NEE,10 g,4 g,1.5 g,313 kJ (74 kcal),https://www.ah.nl/producten/product/wi585849,2025-12-08 16:54:56
HiPRO Protein skyr stijl stracciatella,"€1,12",JA,9.4 g,3.6 g,0.5 g,239 kJ (56 kcal),https://www.ah.nl/producten/product/wi550201,2025-12-08 16:54:58
HiPRO Protein pudding karamel,"€1,49",JA,10 g,6.2 g,0.8 g,319 kJ (75 kcal),https://www.ah.nl/producten/product/wi556394,2025-12-08 16:55:02
AH Clear whey protein poeder citroen limoen,"€5,99",NEE,86 g,1.3 g,0.5 g,1503 kJ (354 kcal),https://www.ah.nl/producten/product/wi594163/ah-clear-whey-protein-poeder-citroen-limoen,2025-12-08 16:55:05
Upfront Clear whey limonade limoen munt smaak,"€19,99",NEE,80 g,1 g,0.4 g,1443 kJ (340 kcal),https://www.ah.nl/producten/product/wi599563/upfront-clear-whey-limonade-limoen-munt-smaak,2025-12-08 16:55:08
AH Clear whey protein poeder sinaasappel,"€6,49",NEE,85.5 g,1.4 g,0.5 g,1504 kJ (354 kcal),https://www.ah.nl/producten/product/wi594050/ah-clear-whey-protein-poeder-sinaasappel,2025-12-08 16:55:12
ESN Isoclear whey protein fresh cherry,"€19,99",NEE,81 g,2.2 g,0 g,1474 kJ (347 kcal),https://www.ah.nl/producten/product/wi594161/esn-isoclear-whey-protein-fresh-cherry,2025-12-08 16:55:15
AH Whey Protein en eiwitreep pakket,"€8,38",NEE,,,,,https://www.ah.nl/producten/product/wi580581/ah-whey-protein-en-eiwitreep-pakket,2025-12-08 16:55:19
AH Whey Protein en preworkout pakket,"€16,88",NEE,,,,,https://www.ah.nl/producten/product/wi580583/ah-whey-protein-en-preworkout-pakket,2025-12-08 16:55:23
Optimum Nutrition Clear whey + collagen summer ice tea,"€24,99",NEE,85 g,2.8 g,0.1 g,1467 kJ (351 kcal),https://www.ah.nl/producten/product/wi594072/optimum-nutrition-clear-whey-collagen-summer-ice-tea,2025-12-08 16:55:25
Coca-Cola Zero sugar zero caffeïne 8-pack,"€4,79",JA,0 g,0 g,0 g,1.4 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi518907/coca-cola-zero-sugar-zero-caffei%CC%88ne-8-pack,2025-12-08 16:55:30
Coca-Cola Zero sugar zero caffeïne,"€2,89",NEE,0 g,0 g,0 g,1.4 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi171607,2025-12-08 16:55:36
Coca-Cola Zero sugar zero caffeïne,"€2,39",NEE,0 g,0 g,0 g,1.4 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi518942/coca-cola-zero-sugar-zero-caffei%CC%88ne,2025-12-08 16:55:41
Pepsi Zero sugar cola lemon,"€2,79",NEE,< 0.1 g,< 0.1 g,0 g,2 kJ (0.5 kcal),https://www.ah.nl/producten/product/wi129320/pepsi-zero-sugar-cola-lemon,2025-12-08 16:55:51
Pepsi Zero sugar zero caffeine,"€2,79",NEE,0 g,0 g,0 g,2 kJ (0.5 kcal),https://www.ah.nl/producten/product/wi457593/pepsi-zero-sugar-zero-caffeine,2025-12-08 16:55:58
Lipton Infusie rooibos no caffeine,"€2,89",NEE,< 0.5 g,< 0.5 g,< 0.5 g,< 17 kJ (< 4 kcal),https://www.ah.nl/producten/product/wi144892/lipton-infusie-rooibos-no-caffeine,2025-12-08 16:56:03
Coca-Cola Zero sugar zero caffeine 12-pack,"€7,99",NEE,0 g,0 g,0 g,1.4 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi566949/coca-cola-zero-sugar-zero-caffeine-12-pack,2025-12-08 16:56:13
Coca-Cola Zero sugar zero caffeïne,"€0,85",JA,0 g,0 g,0 g,1.4 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi518830/coca-cola-zero-sugar-zero-caffei%CC%88ne,2025-12-08 16:56:17
Coca-Cola Zero sugar,"€2,89",NEE,0 g,0 g,0 g,1.3 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi137739,2025-12-08 16:56:20
Coca-Cola Zero sugar,"€2,39",NEE,0 g,0 g,0 g,1.3 kJ (0.3 kcal),https://www.ah.nl/producten/product/wi137741/coca-cola-zero-sugar,2025-12-08 16:56:24
Coca-Cola Original taste,"€2,89",NEE,0 g,10.6 g,0 g,180 kJ (42 kcal),https://www.ah.nl/producten/product/wi2800,2025-12-08 16:56:30
AH Cola no sugar,"€0,99",NEE,0 g,0.09 g,0 g,2 kJ (1 kcal),https://www.ah.nl/producten/product/wi476710/ah-cola-no-sugar,2025-12-08 16:56:33
AH Terra Plantaardig protein gurt bosvruchten,"€1,59",NEE,10 g,4.6 g,0 g,252 kJ (59 kcal),https://www.ah.nl/producten/product/wi585912/ah-terra-plantaardig-protein-gurt-bosvruchten,2025-12-08 16:56:37
Holie's Granola protein crunch,"€3,99",NEE,20 g,30 g,24 g,1852 kJ (451 kcal),https://www.ah.nl/producten/product/wi500146,2025-12-08 16:56:40
TastyBasics Low carb-high protein granola noten,"€3,99",NEE,27 g,17 g,29 g,1967 kJ (472 kcal),https://www.ah.nl/producten/product/wi461511/tastybasics-low-carb-high-protein-granola-noten,2025-12-08 16:56:44
TastyBasics Low carb-high protein granola naturel,"€3,89",NEE,33 g,22 g,15 g,1667 kJ (405 kcal),https://www.ah.nl/producten/product/wi461448/tastybasics-low-carb-high-protein-granola-naturel,2025-12-08 16:56:46
Wasa Protein+ wheat crispbread,"€1,39",JA,20 g,53 g,9.7 g,1676 kJ (398 kcal),https://www.ah.nl/producten/product/wi594610/wasa-protein-wheat-crispbread,2025-12-08 16:56:49
Bolletje Crackers protein low carb,"€2,99",NEE,35 g,15 g,28 g,2016 kJ (484 kcal),https://www.ah.nl/producten/product/wi563579,2025-12-08 16:56:52
AH Proteine crisps sweet chili,"€1,69",NEE,26 g,52 g,8.7 g,1702 kJ (404 kcal),https://www.ah.nl/producten/product/wi524470/ah-proteine-crisps-sweet-chili,2025-12-08 16:56:56
AH Tortilla proteïne wraps naturel medium,"€1,69",NEE,18 g,38 g,7.8 g,1278 kJ (304 kcal),https://www.ah.nl/producten/product/wi599404/ah-tortilla-protei%CC%88ne-wraps-naturel-medium,2025-12-08 16:56:59
Holie's Crunchy muesli protein speculaas,"€4,19",NEE,22 g,38 g,17 g,1823 kJ (436 kcal),https://www.ah.nl/producten/product/wi590178/holie-s-crunchy-muesli-protein-speculaas,2025-12-08 16:57:02
Trek Protein havermout repen choc raspberry,"€3,79",NEE,19 g,49 g,21 g,1962 kJ (468 kcal),https://www.ah.nl/producten/product/wi492666/trek-protein-havermout-repen-choc-raspberry,2025-12-08 16:57:05
Body & Fit Protein wraps,"€3,99",NEE,19 g,29 g,9.7 g,1238 kJ (296 kcal),https://www.ah.nl/producten/product/wi582862/body-en-fit-protein-wraps,2025-12-08 16:57:08
Holie's Crunchy muesli protein chocolate,"€4,19",NEE,22 g,38 g,16 g,1792 kJ (429 kcal),https://www.ah.nl/producten/product/wi590175,2025-12-08 16:57:12
Holie's Crunchy muesli protein peanut butter,"€4,19",NEE,25 g,32 g,23 g,1944 kJ (466 kcal),https://www.ah.nl/producten/product/wi590177/holie-s-crunchy-muesli-protein-peanut-butter,2025-12-08 16:57:16
TastyBasics Low carb-high protein granola choco,"€3,99",NEE,23 g,26 g,19 g,1768 kJ (425 kcal),https://www.ah.nl/producten/product/wi474702/tastybasics-low-carb-high-protein-granola-choco,2025-12-08 16:57:19
Bolletje Krokante muesli proteine,"€3,69",NEE,23 g,43 g,19 g,1913 kJ (457 kcal),https://www.ah.nl/producten/product/wi577534/bolletje-krokante-muesli-proteine,2025-12-08 16:57:23
Holie's Granola protein peanut butter,"€3,99",NEE,20 g,27 g,28 g,1944 kJ (467 kcal),https://www.ah.nl/producten/product/wi569747/holie-s-granola-protein-peanut-butter,2025-12-08 16:57:27
Trek Protein havermout repen cocoa,"€3,79",NEE,18 g,44 g,22 g,1899 kJ (454 kcal),https://www.ah.nl/producten/product/wi407156/trek-protein-havermout-repen-cocoa,2025-12-08 16:57:30
Trek Protein havermout repen smooth lemon,"€3,79",NEE,19 g,47 g,21 g,1927 kJ (460 kcal),https://www.ah.nl/producten/product/wi548153/trek-protein-havermout-repen-smooth-lemon,2025-12-08 16:57:33
Nakd. Protein bars cocoa hazelnut,"€3,79",NEE,16.1 g,32.6 g,21.7 g,1754 kJ (421 kcal),https://www.ah.nl/producten/product/wi566877/nakd-protein-bars-cocoa-hazelnut,2025-12-08 16:57:36
Bolletje Pro-fit kräckebröd proteïne,"€2,19",NEE,22 g,63 g,7.9 g,1786 kJ (423 kcal),https://www.ah.nl/producten/product/wi563580/bolletje-pro-fit-kra%CC%88ckebro%CC%88d-protei%CC%88ne,2025-12-08 16:57:39
TastyBasics Low carb-high protein cracker meerzaden,"€3,19",NEE,36 g,15 g,30 g,2072 kJ (498 kcal),https://www.ah.nl/producten/product/wi406382/tastybasics-low-carb-high-protein-cracker-meerzaden,2025-12-08 16:57:43
Snelle Jelle Proteïne naturel 4-pack,"€2,89",NEE,8.3 g,51 g,1.5 g,1159 kJ (275 kcal),https://www.ah.nl/producten/product/wi602688/snelle-jelle-protei%CC%88ne-naturel-4-pack,2025-12-08 16:57:45
Nakd. Protein bars peanut butter,"€3,79",NEE,17.4 g,39.3 g,21.9 g,1851 kJ (443 kcal),https://www.ah.nl/producten/product/wi566881/nakd-protein-bars-peanut-butter,2025-12-08 16:57:49
AH Granola proteïne 0% toegevoegd suiker,"€3,29",NEE,24 g,32 g,24 g,1968 kJ (472 kcal),https://www.ah.nl/producten/product/wi569820/ah-granola-protei%CC%88ne-0-toegevoegd-suiker,2025-12-08 16:57:52
TastyBasics Low carb-high protein cracker zonnebloem,"€3,19",NEE,35 g,14 g,26 g,1876 kJ (448 kcal),https://www.ah.nl/producten/product/wi456510/tastybasics-low-carb-high-protein-cracker-zonnebloem,2025-12-08 16:57:56
Holie's Granola protein amandel speculaas,"€3,89",NEE,20 g,28 g,27 g,1917 kJ (462 kcal),https://www.ah.nl/producten/product/wi590179,2025-12-08 16:57:59
Holie's Crunchy muesli protein coconut cacao,"€4,19",NEE,22 g,38 g,17 g,1813 kJ (434 kcal),https://www.ah.nl/producten/product/wi590176/holie-s-crunchy-muesli-protein-coconut-cacao,2025-12-08 16:58:02
TastyBasics Low carb-high protein cracker maanzaad,"€3,29",NEE,36 g,12 g,29 g,1962 kJ (471 kcal),https://www.ah.nl/producten/product/wi492910/tastybasics-low-carb-high-protein-cracker-maanzaad,2025-12-08 16:58:06
Holie's Glutenfree granola proteine nuts,"€4,19",NEE,22 g,28 g,25 g,1865 kJ (455 kcal),https://www.ah.nl/producten/product/wi587831/holie-s-glutenfree-granola-proteine-nuts,2025-12-08 16:58:09
AH Volkoren havermout proteine,"€1,99",NEE,20 g,51 g,9.7 g,1639 kJ (390 kcal),https://www.ah.nl/producten/product/wi471000/ah-volkoren-havermout-proteine,2025-12-08 16:58:12
